Lat,Lon,Total_Crimes,Total_Arrests,ASSAULT,BATTERY,BURGLARY,Damage,Trespass,HOMICIDE,MOTOR VEHICLE THEFT,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Summer,Winter,Spring
41.773208215,-87.598992524,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.77321394,-87.598171279,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.773221021,-87.597562645,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.773229456,-87.596737703,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.773229574,-87.596756032,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
41.773255843,-87.59400991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.773273248,-87.592451667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.77329663,-87.590123498,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
41.773298022,-87.589914521,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.773298544,-87.589995166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.773314016,-87.588147331,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.773315666,-87.587978676,13,4,2,1,0,1,2,1,0,0,0,0,0,1,0,0,2,1,1,8,2
41.773315928,-87.588018999,10,2,2,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,3,4,1
41.773320568,-87.587465382,10,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,4,0,0,4,4
41.773321401,-87.587593682,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.773322503,-87.587340716,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.77332305,-87.587425027,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
41.773809509,-87.588805144,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.773864414,-87.588808175,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
41.773875391,-87.588808048,4,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1
41.773889111,-87.588807889,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
41.773967711,-87.605788001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.773979206,-87.604570751,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.773984175,-87.605787815,4,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1
41.773990688,-87.603353501,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
41.774009896,-87.603353283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.774034088,-87.60457013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.774035566,-87.600918749,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41.774042022,-87.598491765,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.77404557,-87.603352878,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.77405332,-87.604573578,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0
41.774064802,-87.603356326,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.774069904,-87.597274325,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.774072528,-87.604573361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.774074139,-87.594513757,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.774079015,-87.602139043,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.774081309,-87.596057073,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
41.77408401,-87.603356109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.774085473,-87.599708392,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.774090471,-87.600921791,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
41.774093347,-87.594513536,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.774096706,-87.60579021,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
41.774096904,-87.598491139,5,1,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,2,0
41.774098224,-87.602138825,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
41.774103219,-87.603355891,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0
41.774107849,-87.592929644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.774116113,-87.59849092,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.774140355,-87.599707766,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.774146619,-87.604572522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.774153129,-87.602141867,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.774158101,-87.603355268,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
41.774165827,-87.604572305,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.774182315,-87.604575784,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
41.774188802,-87.602141462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.774195261,-87.599710806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.774201172,-87.592932237,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.774201524,-87.604575567,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
41.774201644,-87.597276485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.774210511,-87.590552872,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
41.77421207,-87.590369552,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.774212402,-87.590420873,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
41.774213961,-87.590237553,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0
41.774214316,-87.590292539,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.774214469,-87.599710588,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
41.774214482,-87.5903182,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.774215543,-87.590057899,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.774217931,-87.590002881,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.774222211,-87.600923958,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.774233332,-87.588144022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.774233665,-87.588195342,6,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2
41.774233678,-87.599710369,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
41.774238676,-87.600923771,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
41.774239941,-87.604575132,7,1,1,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,4
41.774241552,-87.594515501,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.774244911,-87.605792201,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41.774246451,-87.602144473,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.774248722,-87.596058822,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
41.774251423,-87.603357876,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.774256077,-87.592935272,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.774265187,-87.596058633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41.77426566,-87.602144255,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
41.774269351,-87.599709962,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.774270632,-87.603357658,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.774275286,-87.592935051,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
41.774275758,-87.597279304,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.774277093,-87.600923334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.774279969,-87.594515061,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
41.774283549,-87.598496341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41.774289841,-87.603357441,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0
41.774303627,-87.596061859,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41.774306328,-87.60336092,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
41.774307792,-87.59971319,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.774319025,-87.605795029,20,6,4,4,0,2,3,0,0,0,2,0,0,0,0,0,4,0,2,5,4
41.774320542,-87.602143632,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
41.774322836,-87.596061639,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.774325537,-87.603360702,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.774327,-87.599712971,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.77433064,-87.597278676,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
41.774338431,-87.598495714,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
41.774344746,-87.603360484,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
41.774349376,-87.592934199,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41.774349728,-87.604577555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.774351207,-87.600926156,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.774357639,-87.598495495,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
41.774362673,-87.599712565,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
41.774363954,-87.603360266,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
41.774370415,-87.600925938,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.774377718,-87.59606101,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
41.774381882,-87.599712346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.774388289,-87.597281683,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.774394656,-87.602146456,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0
41.774399628,-87.603359862,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
41.774401114,-87.599715793,10,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,3
41.774407354,-87.604576903,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.774412347,-87.605797641,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
41.774420323,-87.599715574,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.774428173,-87.594517026,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.774431556,-87.605797423,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
41.774436787,-87.599715386,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.774443027,-87.604576499,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
41.774444529,-87.600928761,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.774450764,-87.605797206,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.774455996,-87.599715167,15,2,9,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,7,2,4
41.774459163,-87.592936602,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
41.774463738,-87.600928542,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.774463846,-87.594516616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.774473741,-87.603362688,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,2
41.774478372,-87.592936381,4,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0
41.774487978,-87.602149062,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.774497604,-87.592939826,14,3,0,4,3,3,0,0,1,0,0,0,0,0,0,0,2,1,7,3,4
41.774499411,-87.600928136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.774500677,-87.604579512,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
41.774502287,-87.594519841,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.774505646,-87.605796586,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.774506713,-87.596063199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41.774507187,-87.602148844,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
41.774516813,-87.592939605,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
41.774517141,-87.604579326,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.77451862,-87.600927918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.77453011,-87.599717989,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
41.774531367,-87.603362034,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.774533277,-87.592939416,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.77453796,-87.594519432,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.77454286,-87.602148439,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
41.77455706,-87.600931147,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,1
41.774568527,-87.599717551,4,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2
41.774576378,-87.594518991,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2
41.774582702,-87.598500258,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.774591375,-87.597283027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.774600036,-87.596065796,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.7746266,-87.592942008,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
41.774690598,-87.588831615,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
41.774921124,-87.588832615,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
41.774945985,-87.586321063,10,2,2,2,0,0,0,0,2,0,0,0,0,3,0,0,0,1,2,3,3
41.774967567,-87.605069148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.774967846,-87.605113138,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41.774970032,-87.605025127,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.774971939,-87.604893126,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.774978381,-87.604178168,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.774979543,-87.603928861,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
41.774995737,-87.602590557,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41.774996016,-87.602634547,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.77500179,-87.601816945,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
41.775001884,-87.601831608,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.775013477,-87.600636333,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.775014132,-87.600738976,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
41.775015894,-87.600584981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41.775018809,-87.600181678,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.775021296,-87.600141323,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.775040894,-87.598055098,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.775050527,-87.596988157,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.775058054,-87.595594958,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.775072719,-87.593607771,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.775073286,-87.593695751,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.775116777,-87.59150293,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.77513496,-87.590494546,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
41.775137088,-87.590399203,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41.775137396,-87.590446859,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
41.775139801,-87.589970239,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
41.775139967,-87.5899959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.775159929,-87.587993984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.775160594,-87.588096627,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
41.775161483,-87.587810662,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.775162007,-87.58789131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.775162506,-87.587968292,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.775163062,-87.587631005,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
